# schema_version=v2
second,participant_id,level,wave,spawn_id,agent_type,n_reward,n_threat,n_coactive_fat,n_coactive_tall,event_type,avatar_hp_delta,avatar_gold_delta,avatar_hp,avatar_gold,unix_timestamp,datetime,in_field,distance,warning
1,,1,,,,1,0,0,0,level_start,0,0,100,0,1789712594717,2026-09-18 14:23:14,0,,
1,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,entry,0,0,100,0,,,1,54.861,
2,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,49.844,
3,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,44.847,
4,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,39.846,
5,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,34.844,
6,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,29.842,
7,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,24.847,
8,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,19.851,
8,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,entry,0,0,100,0,,,1,54.861,
9,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,14.85,
9,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,,0,0,100,0,,,1,29.794,
10,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,9.842,
10,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,,0,0,100,0,,,1,4.753,
11,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,4.85,
11,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,collision,-12,-30,88,-30,,,1,4.341,
12,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,collision,-12,-30,76,-60,,,1,4.759,
13,,1,,,,0,0,0,0,,0,0,76,-60,,,0,,
14,,1,,,,0,0,0,0,,0,0,76,-60,,,0,,
15,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,entry,0,0,76,-60,,,1,54.861,
16,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,76,-60,,,1,49.846,
17,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,76,-60,,,1,43.949,
18,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,76,-60,,,1,39.847,
18,,1,,,,0,0,0,1,level_end,0,0,76,-60,1789712615103,2026-09-18 14:23:35,0,,
