# schema_version=v2
second,participant_id,level,wave,spawn_id,agent_type,n_reward,n_threat,n_coactive_fat,n_coactive_tall,event_type,avatar_hp_delta,avatar_gold_delta,avatar_hp,avatar_gold,unix_timestamp,datetime,in_field,distance,warning
1,,1,,,,1,0,0,0,level_start,0,0,100,0,1789713384061,2026-09-18 14:36:24,0,,
1,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,entry,0,0,100,0,,,1,54.861,
2,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,49.853,
3,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,44.85,
4,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,39.856,
5,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,34.848,
6,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,29.847,
7,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,,0,0,100,0,,,1,24.853,
8,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,19.856,
8,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,entry,0,0,100,0,,,1,54.861,
9,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,14.855,
9,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,,0,0,100,0,,,1,29.813,
10,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,9.85,
10,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,,0,0,100,0,,,1,4.789,
11,,1,1,L1_W1_RWD_01,Reward,1,0,1,0,,0,0,100,0,,,1,4.856,
11,,1,1,L1_W1_FAT_01,Coactive_Fat,1,0,1,0,collision,0,-30,100,-30,,,1,4.707,
12,,1,1,L1_W1_RWD_01,Reward,1,0,0,0,collision,0,-30,100,-60,,,1,4.735,
13,,1,,,,0,0,0,0,,0,0,100,-60,,,0,,
14,,1,,,,0,0,0,0,,0,0,100,-60,,,0,,
15,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,entry,0,0,100,-60,,,1,54.861,
16,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,49.846,
17,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,44.849,
18,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,39.849,
19,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,34.847,
20,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,29.851,
21,,1,1,L1_W1_TALL_01,Coactive_Tall,0,0,0,1,,0,0,100,-60,,,1,24.845,
22,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,19.845,
22,,1,1,L1_W1_THR_01,Threat,0,1,0,1,entry,0,0,100,-60,,,1,54.861,
