Date,Second,Level,Wave,Avatar_facing,Avatar_action,Avatar_action_face,Avatar_action_detail,Avatar_health,Avatar_healthchange,Avatar_gold,Avatar_goldchange,Agent_number,Positive_contact,Negative_contact,Reward_number,Reward_nearest_distance,Reward_nearest_location_x,Reward_nearest_location_y,Reward_inrange_count,Reward_outrange_count,Reward_entry_direction,Reward_entry_angle,Threat_number,Threat_nearest_distance,Threat_nearest_location_x,Threat_nearest_location_y,Threat_projectile_hit,Threat_projectile_count,Threat_inrange_count,Threat_outrange_count,Threat_entry_direction,Threat_entry_angle,Coactive1_number,Coactive1_nearest_distance,Coactive1_nearest_location_x,Coactive1_nearest_location_y,Coactive1_inrange_count,Coactive1_outrange_count,Coactive1_entry_direction,Coactive1_entry_angle,Coactive2_number,Coactive2_nearest_distance,Coactive2_nearest_location_x,Coactive2_nearest_location_y,Coactive2_inrange_count,Coactive2_outrange_count,Coactive2_entry_direction,Coactive2_entry_angle,Action_event_start,Action_event_end
"2026/3/15-21:22:19",1,1,1,down-right,"hook,","down-right,","",100,"",0,"",1,"","",1,51.86274,-45.56615,24.76832,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"hook-21:22:18,",""
"2026/3/15-21:22:20",2,1,1,down-right,"","","",100,"",0,"",1,"","",1,48.85965,-42.92767,23.3341,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2026/3/15-21:22:21",3,1,1,down-right,"","","MissingHook,",100,"",0,"",2,"","",1,45.85535,-40.28813,21.89932,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,54.85454,-48.19472,-26.19713,0,1,135,BottomLeft,0,999999,0,0,0,0,-1,none,"","hook-21:22:20,"
"2026/3/15-21:22:22",4,1,1,down-right,"block,","down-right,","",100,"",0,"",3,"","",1,42.77983,-37.58599,20.43053,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,51.77901,-45.49259,-24.72834,0,1,135,BottomLeft,1,54.77944,-48.12874,-26.16127,0,1,135,BottomLeft,"block-21:22:22,",""
"2026/3/15-21:22:23",5,1,2,down-right,"","","MissingBlock,",100,"",0,"",4,"","",1,39.78031,-34.95065,18.99803,0,1,45,TopLeft,1,54.77737,48.12691,26.16027,0,0,0,1,315,TopRight,1,48.7795,-42.85725,-23.29584,0,1,135,BottomLeft,1,51.77993,-45.4934,-24.72877,0,1,135,BottomLeft,"","block-21:22:22,"
"2026/3/15-21:22:24",6,1,2,down-right,"block,block,","down-right,down-right,","MissingBlock,",100,"",0,"",5,"","",1,36.77824,-32.31306,17.56432,0,1,45,TopLeft,1,51.7753,45.48933,24.72656,0,0,0,1,315,TopRight,1,45.77744,-40.21966,-21.86213,0,1,135,BottomLeft,2,48.77786,-42.85581,-23.29506,0,2,135,BottomLeft,"block-21:22:23,block-21:22:24,","block-21:22:23,"
"2026/3/15-21:22:25",7,1,2,down-right,"block,","down-right,","MissingBlock,MissingBlock,",100,"",0,"",6,"","",1,33.77192,-29.67172,16.12859,0,1,45,TopLeft,1,48.76894,42.84795,23.29083,0,0,0,1,315,TopRight,1,42.77107,-37.57828,-20.42639,0,1,135,BottomLeft,3,45.7715,-40.21443,-21.85932,0,3,135,BottomLeft,"block-21:22:24,","block-21:22:24,block-21:22:25,"
"2026/3/15-21:22:26",8,1,2,down-right,"block,","down-right,","MissingBlock,",100,"",0,"",6,"","",1,30.77329,-27.03716,14.69652,0,1,45,TopLeft,1,45.77026,40.21333,21.85873,0,0,0,1,315,TopRight,1,39.77239,-34.94366,-18.9943,0,1,135,BottomLeft,3,42.77282,-37.57981,-20.42722,0,3,135,BottomLeft,"block-21:22:25,","block-21:22:25,"
"2026/3/15-21:22:27",9,1,2,down-right,"block,","down-right,","MissingBlock,",100,"",0,"",6,"","",1,27.76791,-24.39665,13.26123,0,1,45,TopLeft,1,42.76488,37.57284,20.42344,0,0,0,1,315,TopRight,1,36.76702,-32.30317,-17.55901,0,1,135,BottomLeft,3,39.76744,-34.93932,-18.99193,0,3,135,BottomLeft,"block-21:22:26,","block-21:22:26,"
"2026/3/15-21:22:28",10,1,2,down-right,"","","",100,"",0,"",6,"","",1,24.76732,-21.76035,11.82824,1,0,45,TopLeft,1,39.76431,34.93657,18.99043,0,0,0,1,315,TopRight,1,33.76643,-29.66688,-16.12599,0,1,135,BottomLeft,3,36.76686,-32.30304,-17.55892,0,3,135,BottomLeft,"",""
