Date,Second,Level,Wave,Avatar_facing,Avatar_action,Avatar_action_face,Avatar_action_detail,Avatar_health,Avatar_healthchange,Avatar_gold,Avatar_goldchange,Agent_number,Positive_contact,Negative_contact,Reward_number,Reward_nearest_distance,Reward_nearest_location_x,Reward_nearest_location_y,Reward_inrange_count,Reward_outrange_count,Reward_entry_direction,Reward_entry_angle,Threat_number,Threat_nearest_distance,Threat_nearest_location_x,Threat_nearest_location_y,Threat_projectile_hit,Threat_projectile_count,Threat_inrange_count,Threat_outrange_count,Threat_entry_direction,Threat_entry_angle,Coactive1_number,Coactive1_nearest_distance,Coactive1_nearest_location_x,Coactive1_nearest_location_y,Coactive1_inrange_count,Coactive1_outrange_count,Coactive1_entry_direction,Coactive1_entry_angle,Coactive2_number,Coactive2_nearest_distance,Coactive2_nearest_location_x,Coactive2_nearest_location_y,Coactive2_inrange_count,Coactive2_outrange_count,Coactive2_entry_direction,Coactive2_entry_angle,Action_event_start,Action_event_end
"2025/7/17-19:29:31",1,1,1,up-left,"","","",100,"",0,"",1,"","",1,51.86523,-45.56834,24.76951,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:32",2,1,1,up-left,"hook,","up-left,","",100,"",0,"",1,"","",1,48.86055,-42.92846,23.33455,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"hook-19:29:32,",""
"2025/7/17-19:29:33",3,1,1,up-left,"","","",100,"",0,"",2,"","",1,45.85999,-40.29219,21.90156,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,54.85467,-48.19484,-26.19719,0,1,135,BottomLeft,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:34",4,1,1,up-right,"","","MissingHook,",100,"",0,"",3,"","",1,42.85718,-37.65394,20.4675,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,51.85186,-45.55659,-24.76313,0,1,135,BottomLeft,1,54.8537,-48.19398,-26.19673,0,1,135,BottomLeft,"","hook-19:29:34,"
"2025/7/17-19:29:35",5,1,2,up-right,"","","",100,"",0,"",4,"","",1,39.85899,-35.01976,19.03565,0,1,45,TopLeft,1,54.85506,48.19518,26.19738,0,0,0,1,315,TopRight,1,48.85368,-42.92241,-23.33128,0,1,135,BottomLeft,1,51.85551,-45.5598,-24.76488,0,1,135,BottomLeft,"",""
"2025/7/17-19:29:36",6,1,2,up-right,"","","",100,"",0,"",5,"","",1,36.84279,-32.36975,17.59518,0,1,45,TopLeft,1,51.83886,45.54517,24.75691,0,0,0,1,315,TopRight,1,45.83747,-40.2724,-21.89081,0,1,135,BottomLeft,2,48.83931,-42.90979,-23.32441,0,2,135,BottomLeft,"",""
"2025/7/17-19:29:37",7,1,2,up-right,"block,","up-right,","MissingBlock,",100,"",0,"",6,"","",1,33.8366,-29.72854,16.1595,0,1,45,TopLeft,1,48.83269,42.90398,23.32123,0,0,0,1,315,TopRight,1,42.8313,-37.63121,-20.45513,0,1,135,BottomLeft,3,45.83314,-40.2686,-21.88873,0,3,135,BottomLeft,"block-19:29:36,","block-19:29:37,"
"2025/7/17-19:29:38",8,1,2,up-left,"hook,","up-left,","",100,"",0,"",6,"","",1,30.83421,-27.09066,14.72564,0,1,45,TopLeft,1,45.83029,40.26609,21.88737,0,0,0,1,315,TopRight,1,39.8289,-34.99332,-19.02127,0,1,135,BottomLeft,3,42.83074,-37.63071,-20.45487,0,3,135,BottomLeft,"hook-19:29:38,",""
"2025/7/17-19:29:39",9,1,2,up-left,"","","",100,"",0,"",6,"","",1,27.83244,-24.45334,13.29205,0,1,45,TopLeft,1,42.82849,37.62873,20.45381,0,0,0,1,315,TopRight,1,36.8271,-32.35596,-17.5877,0,1,135,BottomLeft,3,39.82894,-34.99335,-19.0213,0,3,135,BottomLeft,"",""
"2025/7/17-19:29:40",10,1,2,up-left,"","","MissingHook,",100,"",0,"",6,"","",1,24.8323,-21.81745,11.85927,1,0,45,TopLeft,1,39.82835,34.99283,19.02101,0,0,0,1,315,TopRight,1,33.82696,-29.72007,-16.15491,0,1,135,BottomLeft,3,36.8288,-32.35746,-17.5885,0,3,135,BottomLeft,"","hook-19:29:40,"
"2025/7/17-19:29:41",11,1,2,up-left,"hook,","up-left,","",100,"",0,"",6,"","",1,21.82724,-19.17722,10.42414,1,0,45,TopLeft,1,36.8233,32.35263,17.58587,0,0,0,1,315,TopRight,1,30.8219,-27.07984,-14.71977,0,1,135,BottomLeft,3,33.82374,-29.71724,-16.15336,0,3,135,BottomLeft,"hook-19:29:41,",""
"2025/7/17-19:29:42",12,1,2,up-right,"","","SuccHook,",100,"20,",20,"20,",5,"Lucky grass,","",0,999999,0,0,0,0,-1,none,1,33.81982,29.71381,16.15147,0,0,0,1,315,TopRight,1,27.8184,-24.44099,-13.28538,0,1,135,BottomLeft,3,30.82024,-27.0784,-14.71896,0,3,135,BottomLeft,"","hook-19:29:42,"
"2025/7/17-19:29:43",13,1,2,up-left,"","","",100,"",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,30.81454,27.07339,14.71623,0,0,0,1,315,TopRight,1,24.81311,-21.80057,-11.85013,1,0,135,BottomLeft,3,27.81496,-24.43798,-13.28372,0,3,135,BottomLeft,"",""
"2025/7/17-19:29:44",14,1,2,up-left,"hook,","up-left,","",100,"",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,27.80807,24.43193,13.28041,0,0,0,1,315,TopRight,1,21.80664,-19.15912,-10.41431,1,0,135,BottomLeft,3,24.80849,-21.79652,-11.8479,1,2,135,BottomLeft,"hook-19:29:44,",""
"2025/7/17-19:29:45",15,1,2,up-left,"","","",100,"",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,24.99406,21.95958,11.9365,0,1,1,0,315,TopRight,1,18.99263,-16.68676,-9.070395,1,0,135,BottomLeft,3,21.99448,-19.32416,-10.50399,1,2,135,BottomLeft,"",""
"2025/7/17-19:29:46",16,1,2,up-right,"","","MissingHook,",95,"-5,",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,21.58364,18.96321,10.30777,1,1,1,0,315,TopRight,1,15.58219,-13.69037,-7.441664,1,0,135,BottomLeft,3,18.58406,-16.3278,-8.875261,2,1,135,BottomLeft,"","hook-19:29:46,"
"2025/7/17-19:29:47",17,1,2,up-right,"block,","up-right,","SuccBlock,",90,"-5,",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,29.69622,24.16223,17.26419,1,1,0,1,315,TopRight,1,12.57628,-11.04941,-6.006118,1,0,135,BottomLeft,3,15.57815,-13.68683,-7.439712,3,0,135,BottomLeft,"block-19:29:47,","block-19:29:47,"
"2025/7/17-19:29:48",18,1,2,down-right,"block,","down-right,","SuccBlock,",85,"-5,",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,129.5272,91.95468,91.22292,1,0,0,1,315,TopRight,1,13.22425,-11.04504,-7.272402,1,0,135,BottomLeft,3,12.56831,-11.04241,-6.002292,3,0,135,BottomLeft,"block-19:29:48,","block-19:29:48,"
"2025/7/17-19:29:49",19,1,2,down-right,"block,block,","down-right,down-right,","SuccBlock,SuccBlock,",85,"",20,"",5,"","",0,999999,0,0,0,0,-1,none,1,141.4214,100,100,0,0,0,1,315,TopRight,1,113.0676,-80.36613,-79.53342,0,1,135,BottomLeft,3,18.56597,-16.31191,-8.866611,1,2,135,BottomLeft,"block-19:29:49,block-19:29:49,","block-19:29:49,block-19:29:49,"
"2025/7/17-19:29:50",20,1,2,up-right,"block,","down-right,","SuccBlock,",85,"",20,"",4,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,1,141.4214,-100,-100,0,1,135,BottomLeft,3,78.57236,-57.29201,-53.77026,0,3,135,BottomLeft,"block-19:29:50,","block-19:29:50,"
"2025/7/17-19:29:52",21,1,2,up-right,"","","",85,"",20,"",3,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,3,141.4214,-100,-100,0,3,135,BottomLeft,"",""
"2025/7/17-19:29:53",22,1,2,up-right,"","","",85,"",20,"",1,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,1,141.4214,-100,-100,0,1,135,BottomLeft,"",""
"2025/7/17-19:29:54",23,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:55",24,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:56",25,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:57",26,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:58",27,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:59",28,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:00",29,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:01",30,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:02",31,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:03",32,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:04",33,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:05",34,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:06",35,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:07",36,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:08",37,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:09",38,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:10",39,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:11",40,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:30:12",41,-,-,down-right,"","","",85,"",20,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
