Date,Second,Level,Wave,Avatar_facing,Avatar_action,Avatar_action_face,Avatar_action_detail,Avatar_health,Avatar_healthchange,Avatar_gold,Avatar_goldchange,Agent_number,Positive_contact,Negative_contact,Reward_number,Reward_nearest_distance,Reward_nearest_location_x,Reward_nearest_location_y,Reward_inrange_count,Reward_outrange_count,Reward_entry_direction,Reward_entry_angle,Threat_number,Threat_nearest_distance,Threat_nearest_location_x,Threat_nearest_location_y,Threat_projectile_hit,Threat_projectile_count,Threat_inrange_count,Threat_outrange_count,Threat_entry_direction,Threat_entry_angle,Coactive1_number,Coactive1_nearest_distance,Coactive1_nearest_location_x,Coactive1_nearest_location_y,Coactive1_inrange_count,Coactive1_outrange_count,Coactive1_entry_direction,Coactive1_entry_angle,Coactive2_number,Coactive2_nearest_distance,Coactive2_nearest_location_x,Coactive2_nearest_location_y,Coactive2_inrange_count,Coactive2_outrange_count,Coactive2_entry_direction,Coactive2_entry_angle,Action_event_start,Action_event_end
"2025/7/17-19:31:12",1,1,1,up-right,"","","",100,"",0,"",1,"","",1,51.86319,-45.56655,24.76854,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:31:13",2,1,1,up-right,"","","",100,"",0,"",1,"","",1,48.86185,-42.9296,23.33518,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:31:14",3,1,1,up-right,"","","",100,"",0,"",2,"","",1,45.85731,-40.28983,21.9003,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,54.85382,-48.19408,-26.19678,0,1,135,BottomLeft,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:31:15",4,1,1,up-left,"hook,","up-left,","",100,"",0,"",3,"","",1,42.84937,-37.64708,20.46377,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,51.84587,-45.55133,-24.76027,0,1,135,BottomLeft,1,54.84468,-48.18606,-26.19242,0,1,135,BottomLeft,"hook-19:31:15,",""
"2025/7/17-19:31:17",5,1,2,up-left,"","","",100,"",0,"",4,"","",1,39.85468,-35.01596,19.03359,0,1,45,TopLeft,1,54.85431,48.19452,26.19702,0,0,0,1,315,TopRight,1,48.85118,-42.92022,-23.33009,0,1,135,BottomLeft,1,51.84999,-45.55495,-24.76224,0,1,135,BottomLeft,"",""
"2025/7/17-19:31:18",6,1,2,up-left,"hook,","up-left,","MissingHook,",100,"",0,"",5,"","",1,36.838,-32.36554,17.59291,0,1,45,TopLeft,1,51.83764,45.54409,24.75634,0,0,0,1,315,TopRight,1,45.83451,-40.26979,-21.8894,0,1,135,BottomLeft,2,48.83332,-42.90452,-23.32156,0,2,135,BottomLeft,"hook-19:31:18,","hook-19:31:17,"
"2025/7/17-19:31:19",7,1,2,up-left,"","","",100,"",0,"",6,"","",1,33.8343,-29.72651,16.15842,0,1,45,TopLeft,1,48.83395,42.90508,23.32185,0,0,0,1,315,TopRight,1,42.83082,-37.63078,-20.45492,0,1,135,BottomLeft,3,45.82963,-40.26551,-21.88707,0,3,135,BottomLeft,"",""
"2025/7/17-19:31:20",8,1,2,up-right,"","","MissingHook,",100,"",0,"",6,"","",1,30.83084,-27.08769,14.72404,0,1,45,TopLeft,1,45.83046,40.26623,21.88749,0,0,0,1,315,TopRight,1,39.82734,-34.99193,-19.02056,0,1,135,BottomLeft,3,42.82615,-37.62666,-20.45271,0,3,135,BottomLeft,"","hook-19:31:20,"
"2025/7/17-19:31:21",9,1,2,up-left,"hook,","up-left,","",100,"",0,"",6,"","",1,27.82525,-24.44703,13.28863,0,1,45,TopLeft,1,42.82484,37.62551,20.45208,0,0,0,1,315,TopRight,1,36.82171,-32.35121,-17.58515,0,1,135,BottomLeft,3,39.82052,-34.98594,-19.01731,0,3,135,BottomLeft,"hook-19:31:21,",""
"2025/7/17-19:31:22",10,1,2,up-left,"","","",100,"",0,"",6,"","",1,21.41885,-19.09908,9.694963,1,0,45,TopLeft,1,39.82291,34.98804,19.01843,0,0,0,1,315,TopRight,1,33.81978,-29.71375,-16.15149,0,1,135,BottomLeft,3,36.81859,-32.34847,-17.58365,0,3,135,BottomLeft,"",""
