Date,Second,Level,Wave,Avatar_facing,Avatar_action,Avatar_action_face,Avatar_action_detail,Avatar_health,Avatar_healthchange,Avatar_gold,Avatar_goldchange,Agent_number,Positive_contact,Negative_contact,Reward_number,Reward_nearest_distance,Reward_nearest_location_x,Reward_nearest_location_y,Reward_inrange_count,Reward_outrange_count,Reward_entry_direction,Reward_entry_angle,Threat_number,Threat_nearest_distance,Threat_nearest_location_x,Threat_nearest_location_y,Threat_projectile_hit,Threat_projectile_count,Threat_inrange_count,Threat_outrange_count,Threat_entry_direction,Threat_entry_angle,Coactive1_number,Coactive1_nearest_distance,Coactive1_nearest_location_x,Coactive1_nearest_location_y,Coactive1_inrange_count,Coactive1_outrange_count,Coactive1_entry_direction,Coactive1_entry_angle,Coactive2_number,Coactive2_nearest_distance,Coactive2_nearest_location_x,Coactive2_nearest_location_y,Coactive2_inrange_count,Coactive2_outrange_count,Coactive2_entry_direction,Coactive2_entry_angle,Action_event_start,Action_event_end
"2025/7/17-14:24:33",1,1,1,down-right,"","","",100,"",0,"",1,"","",1,51.86368,-45.56697,24.76878,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-14:24:34",2,1,1,down-right,"","","",100,"",0,"",1,"","",1,48.86131,-42.92912,23.3349,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-14:24:35",3,1,1,up-left,"hook,","down-right,","",100,"",0,"",2,"","",1,45.85403,-40.28695,21.89872,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,54.8533,-48.19363,-26.19654,0,1,135,BottomLeft,0,999999,0,0,0,0,-1,none,"hook-14:24:34,",""
"2025/7/17-14:24:36",4,1,1,up-left,"","","MissingHook,",100,"",0,"",3,"","",1,41.8587,-36.77669,19.99064,0,1,45,TopLeft,0,999999,0,0,0,0,0,0,-1,none,1,50.85797,-44.68337,-24.28846,0,1,135,BottomLeft,1,53.85281,-47.31461,-25.71873,0,1,135,BottomLeft,"","hook-14:24:36,"
"2025/7/17-14:24:37",5,1,2,up-left,"hook,","up-left,","",100,"",0,"",4,"","",1,38.79057,-34.08106,18.52537,0,1,45,TopLeft,1,53.78595,47.25587,25.6868,0,0,0,1,315,TopRight,1,47.78984,-41.98774,-22.82319,0,1,135,BottomLeft,1,50.78468,-44.61898,-24.25346,0,1,135,BottomLeft,"hook-14:24:37,",""
"2025/7/17-14:24:38",6,1,2,up-left,"","","",100,"",0,"",5,"","",1,35.78304,-31.43867,17.08906,0,1,45,TopLeft,1,50.77844,44.6135,24.25048,0,0,0,1,315,TopRight,1,44.78233,-39.34537,-21.38688,0,1,135,BottomLeft,2,47.77717,-41.97661,-22.81715,0,2,135,BottomLeft,"",""
"2025/7/17-14:24:39",7,1,2,up-left,"","","MissingHook,",100,"",0,"",6,"","",1,32.78112,-28.80121,15.65541,0,1,45,TopLeft,1,47.77655,41.97608,22.81683,0,0,0,1,315,TopRight,1,41.78044,-36.70795,-19.95323,0,1,135,BottomLeft,3,44.77528,-39.33919,-21.38349,0,3,135,BottomLeft,"","hook-14:24:39,"
"2025/7/17-14:24:40",8,1,2,up-left,"hook,","up-left,","",100,"",0,"",6,"","",1,29.77501,-26.16008,14.21976,0,1,45,TopLeft,1,44.77042,39.33491,21.3812,0,0,0,1,315,TopRight,1,38.77431,-34.06678,-18.51759,0,1,135,BottomLeft,3,41.76915,-36.69802,-19.94786,0,3,135,BottomLeft,"hook-14:24:40,",""
"2025/7/17-14:24:41",9,1,2,up-left,"","","",100,"",0,"",6,"","",1,21.89929,-19.83967,9.271806,1,0,45,TopLeft,1,41.7667,36.69586,19.94671,0,0,0,1,315,TopRight,1,35.7706,-31.42775,-17.08311,0,1,135,BottomLeft,3,38.76543,-34.05897,-18.51337,0,3,135,BottomLeft,"",""
"2025/7/17-14:24:42",10,1,2,up-right,"","","SuccHook,",100,"20,",20,"20,",5,"Lucky grass,","",0,999999,0,0,0,0,-1,none,1,38.76203,34.05599,18.51174,0,0,0,1,315,TopRight,1,32.7659,-28.78784,-15.64814,0,1,135,BottomLeft,3,35.76076,-31.4191,-17.0784,0,3,135,BottomLeft,"","hook-14:24:42,"
